"","name","first_name","last_name","birth_city","birth_state","birth_country","birth_date","college","draft_team","draft_round","draft_pick","draft_year","position","height","weight","death_date","death_city","death_state","death_country","year_start","year_end","careerLength","latitude","longitude"
"19034","Bill Shepherd","Bill","Shepherd","Clearfield","PA","USA","12/4/1911","West. Maryland",NA,NA,NA,NA,"B","9-May",198,"3/8/1967","Detroit","MI",NA,2000,2005,5,41.1107771,-112.0260538
"19035","Edell Shepherd","Edell","Shepherd","Los Angeles","CA","USA","5/18/1980","San Jose St.",NA,NA,NA,NA,"WR","1-Jun",175,NA,NA,NA,NA,2000,2005,5,34.0522342,-118.2436849
"19036","Gannon Shepherd","Gannon","Shepherd","Flint","MI","USA","1/4/1977","Duke",NA,NA,NA,NA,"T","8-Jun",310,NA,NA,NA,NA,2000,2005,5,43.0125274,-83.6874562
"19037","Jacoby Shepherd","Jacoby","Shepherd","Lufkin","TX","USA","8/31/1979","Oklahoma St.","St. Louis Rams","2nd","62nd",2000,"DB","2-Jun",204,NA,NA,NA,NA,2000,2005,5,31.3382406,-94.729097
"19038","Johnny Shepherd","Johnny","Shepherd","La Grange","NC","USA","4/24/1957","Liberty",NA,NA,NA,NA,"RB","10-May",185,NA,NA,NA,NA,2000,2005,5,29.743235,-95.4010514
"19039","Leslie Shepherd","Leslie","Shepherd","Washington","DC","USA","11/3/1969","Temple",NA,NA,NA,NA,"WR","11-May",186,NA,NA,NA,NA,2000,2005,5,47.7510741,-120.7401385
"19040","Ashley Sheppard","Ashley","Sheppard","Greenville","NC","USA","1/21/1969","Clemson","Minnesota Vikings","4th","106th",1993,"LB","3-Jun",240,NA,NA,NA,NA,2000,2005,5,34.8526176,-82.3940104
"19041","Henry Sheppard","Henry","Sheppard","Cuero","TX","USA","11/12/1952","SMU","Cleveland Browns","5th","130th",1976,"G-T","6-Jun",255,NA,NA,NA,NA,2000,2005,5,29.0938652,-97.2891568
"19043","Lito Sheppard","Lito","Sheppard","Jacksonville","FL","USA","4/8/1981","Florida","Philadelphia Eagles","1st","26th",2002,"DB","10-May",194,NA,NA,NA,NA,2000,2005,5,30.3321838,-81.655651
"19044","Malcolm Sheppard","Malcolm","Sheppard","Bainbridge","GA","USA","2/13/1988","Arkansas",NA,NA,NA,NA,"DT","2-Jun",291,NA,NA,NA,NA,2000,2005,5,47.6248791,-122.5210007
"19045","Marcus Sherels","Marcus","Sherels","Rochester","MN","USA","9/30/1987","Minnesota",NA,NA,NA,NA,"DB","10-May",175,NA,NA,NA,NA,2000,2005,5,43.1565779,-77.6088465
"19046","Dave Sherer","Dave","Sherer","Galion","OH","USA","2/14/1937","New Mex. Mil. Inst.","Baltimore Colts","2nd","24th",1959,"E","3-Jun",210,NA,NA,NA,NA,2000,2005,5,40.7336687,-82.7899026
"19047","Stan Sheriff","Stan","Sheriff","Honolulu","HI","USA","4/24/1932","Cal Poly-San Luis Obispo","Los Angeles Rams","18th","214th",1954,"LB-G-C","1-Jun",224,"1/16/1993","Honolulu","HI",NA,2000,2005,5,21.3069444,-157.8583333
"19048","Jerry Sherk","Jerry","Sherk","Grants Pass","OR","USA","7/7/1948","Oklahoma St.","Cleveland Browns","2nd","47th",1970,"DT-DE-NT","4-Jun",258,NA,NA,NA,NA,2000,2005,5,42.4390069,-123.3283925
"19049","Bob Sherlag","Bob","Sherlag","Chicago","IL","USA","4/19/1943","Memphis","Buffalo Bills","5th","41st",1966,"WR","Jun-00",195,NA,NA,NA,NA,2000,2005,5,41.8781136,-87.6297982
"19050","Allie Sherman","Allie","Sherman","Brooklyn","NY","USA","2/10/1923","Brooklyn",NA,NA,NA,NA,"QB","11-May",170,NA,NA,NA,NA,2000,2005,5,40.6781784,-73.9441579
"19052","Bob Sherman","Bob","Sherman","Owosso","MI","USA","7/4/1942","Iowa","Pittsburgh Steelers","12th","163rd",1964,"DB","2-Jun",195,NA,NA,NA,NA,2000,2005,5,42.9978049,-84.1766358
"19053","Heath Sherman","Heath","Sherman","Wharton","TX","USA","3/27/1967","Texas A&M-Kingsville","Philadelphia Eagles","6th","162nd",1989,"RB","Jun-00",195,NA,NA,NA,NA,2000,2005,5,29.3116366,-96.1027371
"19055","Rod Sherman","Rod","Sherman","Pasadena","CA","USA","12/25/1944","UCLA","Baltimore Colts","4th","54th",1966,"WR-FL","Jun-00",190,NA,NA,NA,NA,2000,2005,5,34.1477849,-118.1445155
"19056","Solly Sherman","Solly","Sherman","Chicago","IL","USA","9/25/1917","Chicago","Chicago Bears","18th","166th",1939,"QB","1-Jun",190,"10/10/2010","Forest Park","IL",NA,2000,2005,5,41.8781136,-87.6297982
"19057","Tom Sherman","Tom","Sherman","Bellevue","PA","USA","12/5/1945","Penn St.",NA,NA,NA,NA,"QB","Jun-00",190,NA,NA,NA,NA,2000,2005,5,47.6101497,-122.2015159
"19058","Will Sherman","Will","Sherman","Weed","CA","USA","10/20/1927","St. Mary's (CA)","New York Yanks","26th","311th",1951,"DB","2-Jun",190,"10/11/1997"," "," ",NA,2000,2005,5,41.4226498,-122.3861269
"19059","Mike Sherrard","Mike","Sherrard","Oakland","CA","USA","6/21/1963","UCLA","Dallas Cowboys","1st","18th",1986,"WR","1-Jun",185,NA,NA,NA,NA,2000,2005,5,37.8043637,-122.2711137
"19060","Bud Sherrod","Bud","Sherrod","Knoxville","TN","USA","12/2/1927","Tennessee","New York Giants","17th","206th",1951,"E-DE","Jun-00",190,"8/31/1980","Dallas","TX",NA,2000,2005,5,35.9606384,-83.9207392
"19063","Tim Sherwin","Tim","Sherwin","Troy","NY","USA","5/4/1958","Boston Col.","Baltimore Colts","4th","94th",1981,"TE","6-Jun",243,NA,NA,NA,NA,2000,2005,5,31.8018895,-85.9572283
"19064","Rhoten Shetley","Rhoten","Shetley","Wolf Creek","TN","USA","2/7/1918","Furman","Brooklyn Dodgers","3rd","19th",1940,"B","11-May",208,"1/7/1993","Greenville","SC",NA,2000,2005,5,37.474759,-106.793583
"19065","Visanthe Shiancoe","Visanthe","Shiancoe","Laurel","MD","USA","6/18/1980","Morgan St.","New York Giants","3rd","91st",2003,"TE","4-Jun",250,NA,NA,NA,NA,2003,2013,10,37.2256902,-95.7061074
"19066","James Shibest","James","Shibest","Fort Riley","KS","USA","10/31/1964","Arkansas",NA,NA,NA,NA,"WR","10-May",187,NA,NA,NA,NA,2003,2013,10,39.110058,-96.8099772
"19067","Joe Shield","Joe","Shield","Brattleboro","VT","USA","6/26/1962","Trinity (CT)","Green Bay Packers","11th","294th",1985,"QB","1-Jun",185,NA,NA,NA,NA,2003,2013,10,42.8509152,-72.5578678
"19068","Billy Shields","Billy","Shields","Vicksburg","MS","USA","8/23/1953","Georgia Tech","San Diego Chargers","6th","136th",1975,"T","8-Jun",272,NA,NA,NA,NA,2003,2013,10,32.3526456,-90.877882
"19069","Burrell Shields","Burrell","Shields","Cleveland","OH","USA","9/6/1929","John Carroll","Cleveland Browns","6th","72nd",1952,"HB","2-Jun",203,"6/23/1997"," "," ",NA,2003,2013,10,41.49932,-81.6943605
"19071","Lebron Shields","Lebron","Shields","Walker County","GA","USA","7/23/1937","Tennessee","Detroit Lions","22nd","256th",1959,"DE-T","4-Jun",250,NA,NA,NA,NA,2003,2013,10,30.6815394,-95.6457951
"19072","Paul Shields","Paul","Shields","Mesa","AZ","USA","1/31/1976","Arizona",NA,NA,NA,NA,"RB","1-Jun",238,NA,NA,NA,NA,2003,2013,10,33.4151843,-111.8314724
"19073","Sam Shields","Sam","Shields","Sarasota","FL","USA","12/8/1987","Miami (FL)",NA,NA,NA,NA,"DB","11-May",184,NA,NA,NA,NA,2003,2013,10,27.3364347,-82.5306527
"19074","Scott Shields","Scott","Shields","San Diego","CA","USA","3/29/1976","Weber St.","Pittsburgh Steelers","2nd","59th",1999,"DB","4-Jun",228,NA,NA,NA,NA,2003,2013,10,32.715738,-117.1610838
"19075","Will Shields","Will","Shields","Fort Riley","KS","USA","9/15/1971","Nebraska","Kansas City Chiefs","3rd","74th",1993,"G","3-Jun",315,NA,NA,NA,NA,2003,2013,10,39.110058,-96.8099772
"19076","Dick Shiner","Dick","Shiner","Lebanon","PA","USA","7/18/1942","Maryland","Washington Redskins","7th","87th",1964,"QB","Jun-00",201,NA,NA,NA,NA,2003,2013,10,33.854721,35.862285
"19077","John Shinners","John","Shinners","Hartford","WI","USA","3/1/1947","Xavier (OH)","New Orleans Saints","1st","17th",1969,"G","3-Jun",255,NA,NA,NA,NA,2003,2013,10,41.7658043,-72.6733723
"19078","Don Shinnick","Don","Shinnick","Kansas City","MO","USA","5/15/1935","UCLA","Baltimore Colts","2nd","20th",1957,"LB","Jun-00",232,"1/20/2004","Modesto","CA",NA,2003,2013,10,39.0997265,-94.5785667
"19079","Jerry Shipkey","Jerry","Shipkey","Fullerton","CA","USA","10/31/1925","USC","Pittsburgh Steelers","8th","58th",1947,"LB-FB-DB","1-Jun",213,"11/28/2009","Dana Point","CA",NA,2003,2013,10,33.8703645,-117.9242123
"19081","Jordan Shipley","Jordan","Shipley","Burnet","TX","USA","12/23/1985","Texas","Cincinnati Bengals","3rd","84th",2010,"WR","11-May",190,NA,NA,NA,NA,2003,2013,10,30.7582376,-98.2283585
"19082","Billy Shipp","Billy","Shipp","Mobile","AL","USA","10/16/1929","Alabama","New York Giants","8th","95th",1952,"T","5-Jun",275,"6/9/2011","Mobile","AL",NA,2003,2013,10,37.047544,-95.638411
"19083","Jackie Shipp","Jackie","Shipp","Muskogee","OK","USA","3/17/1962","Oklahoma","Miami Dolphins","1st","14th",1984,"LB","2-Jun",235,NA,NA,NA,NA,2003,2013,10,35.7478769,-95.3696909
"19084","Joe Shipp","Joe","Shipp","Long Beach","CA","USA","7/25/1955","USC",NA,NA,NA,NA,"TE","4-Jun",225,NA,NA,NA,NA,2003,2013,10,33.7700504,-118.1937395
"19085","Marcel Shipp","Marcel","Shipp","Paterson","NJ","USA","8/8/1978","Massachusetts",NA,NA,NA,NA,"RB","11-May",230,NA,NA,NA,NA,2003,2013,10,40.9167654,-74.171811
"19086","Abe Shires","Abe","Shires","Alderson","WV","USA","2/12/1917","Tennessee","Cleveland Rams","2nd","14th",1941,"T","2-Jun",220,"7/23/1993","Sacramento","CA",NA,2003,2013,10,33.5784165,-101.8483224
"19087","Fred Shirey","Fred","Shirey","Latrobe","PA","USA","1/12/1916","Washington & Jefferson","Philadelphia Eagles","5th","32nd",1938,"T","2-Jun",223,"11/1/1961",NA,NA,NA,2003,2013,10,40.3211808,-79.3794811
"19088","Gary Shirk","Gary","Shirk","Marysville","OH","USA","2/23/1950","Morehead St.",NA,NA,NA,NA,"TE","1-Jun",220,NA,NA,NA,NA,2003,2013,10,48.0517637,-122.1770818
"19089","John Shirk","John","Shirk","Oklahoma City","OK","USA","6/24/1917","Oklahoma","Chicago Cardinals","4th","26th",1940,"E-DE","4-Jun",200,"11/8/1993","Glendora","CA",NA,2003,2013,10,35.4675602,-97.5164276
"19090","George Shirkey","George","Shirkey","Fort Stockton","TX","USA","8/20/1936","S.F. Austin","San Francisco 49ers","16th","191st",1958,"DT","4-Jun",260,NA,NA,NA,NA,2003,2013,10,30.8940431,-102.8793222
"19091","Jason Shirley","Jason","Shirley","Los Angeles County","CA","USA","9/30/1985","Fresno St.","Cincinnati Bengals","5th","145th",2008,"DT","5-Jun",329,NA,NA,NA,NA,2003,2013,10,34.0522265,-118.2436596
"19092","Marion Shirley","Marion","Shirley","Denver","CO","USA","4/17/1922","Oklahoma St.","Boston Yanks","17th","147th",1947,"T","4-Jun",260,"9/13/1996","Stafford","TX",NA,2003,2013,10,39.7392358,-104.990251
"19093","Clay Shiver","Clay","Shiver","Tifton","GA","USA","12/7/1972","Florida St.","Dallas Cowboys","3rd","67th",1996,"C","2-Jun",283,NA,NA,NA,NA,2003,2013,10,31.4504629,-83.5084973
"19094","Rex Shiver","Rex","Shiver","Miami","FL","USA","1/1/1932","Miami (FL)",NA,NA,NA,NA,"DB","Jun-00",190,NA,NA,NA,NA,2003,2013,10,25.7616798,-80.1917902
"19095","Sanders Shiver","Sanders","Shiver","Gadsden","SC","USA","2/14/1954","Carson-Newman","Baltimore Colts","5th","134th",1976,"LB","2-Jun",227,NA,NA,NA,NA,2003,2013,10,34.014264,-86.0066386
"19096","Jason Shivers","Jason","Shivers","Phoenix","AZ","USA","11/4/1982","Arizona St.","St. Louis Rams","5th","158th",2004,"DB","Jun-00",200,NA,NA,NA,NA,2003,2013,10,33.4483771,-112.0740373
"19097","Roy Shivers","Roy","Shivers","Halley","AR","USA","7/5/1941","Utah St.","St. Louis Cardinals","19th","264th",1965,"RB","11-May",200,NA,NA,NA,NA,2003,2013,10,33.5356678,-91.3248387
"19098","Wes Shivers","Wes","Shivers","Jackson","MS","USA","3/8/1977","Mississippi St.","Tennessee Titans","7th","237th",2000,"T","5-Jun",298,NA,NA,NA,NA,2003,2013,10,37.0328728,-95.6316455
"19099","Boris Shlapak","Boris","Shlapak","Chicago","IL","USA","5/18/1950","Drake",NA,NA,NA,NA,"K","Jun-00",175,NA,NA,NA,NA,1972,1972,0,41.8781136,-87.6297982
"19100","Roger Shoals","Roger","Shoals","Baltimore","MD","USA","12/13/1938","Maryland","Dallas Texans","34th","267th",1962,"T","4-Jun",260,NA,NA,NA,NA,1963,1971,8,39.2903848,-76.6121893
"19101","Jeff Shoate","Jeff","Shoate","San Diego","CA","USA","3/23/1981","Montana","Denver Broncos","5th","152nd",2004,"DB","10-May",189,NA,NA,NA,NA,1963,1971,8,32.715738,-117.1610838
"19102","Rod Shoate","Rod","Shoate","Spiro","OK","USA","4/26/1953","Oklahoma","New England Patriots","2nd","41st",1975,"LB","1-Jun",214,"10/4/1999","Spiro","OK",NA,1963,1971,8,35.2412073,-94.619944
"19103","Jeremy Shockey","Jeremy","Shockey","Ada","OK","USA","8/18/1980","Miami (FL)","New York Giants","1st","14th",2002,"TE","5-Jun",253,NA,NA,NA,NA,1963,1971,8,34.774531,-96.6783449
"19105","Bill Shockley","Bill","Shockley","West Chester","PA","USA","3/13/1937","West Chester",NA,NA,NA,NA,"HB-K","Jun-00",185,"12/7/1992","New York","NY",NA,1963,1971,8,39.9606643,-75.6054882
"19106","Hub Shoemake","Hub","Shoemake","Oskaloosa","IA","USA","1899-09-29","Lake Forest",NA,NA,NA,NA,"G","Jun-00",186,"3/10/1984","Washington","DC",NA,1963,1971,8,41.2916728,-92.6493595
"19107","Hal Shoener","Hal","Shoener","Reedsville","WV","USA","1/2/1923","Iowa","New York Giants","23rd","214th",1947,"E-DE","3-Jun",200,"12/13/1983","Oakland","CA",NA,1963,1971,8,44.153604,-87.9567618
"19108","Herb Shoener","Herb","Shoener","Reedsville","WV","USA","1/2/1923","Lehigh","Washington Redskins","31st","286th",1947,"E-DE","3-Jun",205,"12/24/1985","Anaheim","CA",NA,1963,1971,8,44.153604,-87.9567618
"19109","Del Shofner","Del","Shofner","Center","TX","USA","12/11/1934","Baylor","Los Angeles Rams","1st","11th",1957,"E-DB","3-Jun",186,NA,NA,NA,NA,1963,1971,8,37.09024,-95.712891
"19110","Jim Shofner","Jim","Shofner","Grapevine","TX","USA","12/18/1935","TCU","Cleveland Browns","1st","13th",1958,"DB","2-Jun",191,NA,NA,NA,NA,1963,1971,8,32.9342919,-97.0780654
"19111","John Shonk","John","Shonk","Charleston","WV","USA","4/30/1918","West Virginia","Philadelphia Eagles","19th","171st",1941,"E","1-Jun",190,"4/26/1984","Christianburg","VA",NA,1963,1971,8,32.7764749,-79.9310512
"19112","Chuck Shonta","Chuck","Shonta","Detroit","MI","USA","8/29/1937","East. Michigan",NA,NA,NA,NA,"DB","Jun-00",200,NA,NA,NA,NA,1963,1971,8,42.331427,-83.0457538
"19113","Al Shook","Al","Shook","Pierce City","MO","USA","1898-01-15","none",NA,NA,NA,NA,"G",NA,NA,NA,NA,NA,NA,1963,1971,8,36.9458952,-94.0002099
"19114","Frederick Shook","Frederick","Shook","Fort Worth","TX","USA","3/30/1919","TCU",NA,NA,NA,NA,"C-LB","Jun-00",218,"4/16/1992",NA,NA,NA,1963,1971,8,32.7554883,-97.3307658
"19115","Brandon Short","Brandon","Short","McKeesport","PA","USA","7/11/1977","Penn St.","New York Giants","4th","105th",2000,"LB","3-Jun",253,NA,NA,NA,NA,1963,1971,8,40.3470671,-79.8641232
"19116","Jason Short","Jason","Short","Painesville","OH","USA","7/15/1978","East. Michigan",NA,NA,NA,NA,"LB","4-Jun",254,NA,NA,NA,NA,1963,1971,8,41.7244885,-81.245657
"19118","Laval Short","Laval","Short","Nashville","TN","USA","9/29/1958","Colorado","Denver Broncos","5th","136th",1980,"NT","3-Jun",250,NA,NA,NA,NA,1963,1971,8,36.1626638,-86.7816016
"19119","Jim Shorter","Jim","Shorter","Montgomery","AL","USA","6/8/1939","Detroit Mercy","Cleveland Browns","14th","193rd",1962,"DB","11-May",184,"6/1/2000","Los Angeles","CA",NA,1963,1971,8,32.3792233,-86.3077368
"19120","George Shorthose","George","Shorthose","Stanton","CA","USA","12/22/1961","Missouri","Miami Dolphins","6th","145th",1985,"WR","Jun-00",198,NA,NA,NA,NA,1963,1971,8,33.8028875,-117.9931203
"19122","Peter Shorts","Peter","Shorts","Janesville","WI","USA","7/12/1966","Illinois St.",NA,NA,NA,NA,"DT","8-Jun",278,NA,NA,NA,NA,1963,1971,8,42.6827885,-89.0187222
"19123","Darin Shoulders","Darin","Shoulders","Jackson","MS","USA","5/23/1968","Tulane",NA,NA,NA,NA,"T","3-Jun",288,NA,NA,NA,NA,1963,1971,8,37.0328728,-95.6316455
"19124","Paul Shoults","Paul","Shoults","Washington Court House","OH","USA","10/9/1925","Miami (OH)","Chicago Cardinals","25th","235th",1948,"HB","11-May",178,"8/18/2011","Granger","IN",NA,1963,1971,8,39.5364511,-83.4390843
"19125","Darrell Shropshire","Darrell","Shropshire","Kershaw","NC","USA","3/18/1983","South Carolina","Atlanta Falcons","7th","241st",2005,"DT","2-Jun",301,NA,NA,NA,NA,2005,2006,1,35.7549633,-95.4279602
"19126","Pete Shufelt","Pete","Shufelt","Chicago","IL","USA","10/28/1969","Texas-El Paso",NA,NA,NA,NA,"LB","3-Jun",241,NA,NA,NA,NA,1994,1994,0,41.8781136,-87.6297982
"19127","Clyde Shugart","Clyde","Shugart","Elberon","IA","USA","12/7/1916","Iowa St.","Washington Redskins","17th","158th",1939,"G-T","1-Jun",221,"7/2/2009","Gulf Breeze","FL",NA,1994,1994,0,40.2692785,-73.9918038
"19128","Bret Shugarts","Bret","Shugarts","Du Bois","PA","USA","2/17/1960","Lock Haven",NA,NA,NA,NA,"DE","2-Jun",250,NA,NA,NA,NA,1994,1994,0,43.0377864,-88.1238533
"19129","David Shula","David","Shula","Lexington","KY","USA","5/28/1959","Dartmouth",NA,NA,NA,NA,"WR","11-May",182,NA,NA,NA,NA,1994,1994,0,38.0405837,-84.5037164
"19130","Don Shula","Don","Shula","Grand River","OH","USA","1/4/1930","John Carroll","Cleveland Browns","9th","110th",1951,"DB","11-May",190,NA,NA,NA,NA,1994,1994,0,42.9229733,-85.3499461
"19131","Heath Shuler","Heath","Shuler","Bryson City","NC","USA","12/31/1971","Tennessee","Washington Redskins","1st","3rd",1994,"QB","2-Jun",216,NA,NA,NA,NA,1994,1994,0,35.4309291,-83.4473809
"19132","Mickey Shuler","Mickey","Shuler","Harrisburg","PA","USA","8/21/1956","Penn St.","New York Jets","3rd","61st",1978,"TE","3-Jun",232,NA,NA,NA,NA,1994,1994,0,40.2731911,-76.8867008
"19133","Mickey Shuler","Mickey","Shuler","Enola","PA","USA","10/9/1986","Penn St.","Minnesota Vikings","7th","214th",2010,"TE","4-Jun",242,NA,NA,NA,NA,1994,1994,0,40.2900885,-76.9338636
"19134","Steve Shull","Steve","Shull","Philadelphia","PA","USA","3/27/1958","William & Mary",NA,NA,NA,NA,"LB","1-Jun",220,NA,NA,NA,NA,1994,1994,0,39.9525839,-75.1652215
"19136","Mike Shumann","Mike","Shumann","Louisville","KY","USA","10/13/1955","Florida St.",NA,NA,NA,NA,"WR","1-Jun",178,NA,NA,NA,NA,1994,1994,0,38.2526647,-85.7584557
"19137","Mark Shumate","Mark","Shumate","Poynette","WI","USA","3/30/1960","Wisconsin","Kansas City Chiefs","10th","257th",1983,"NT","5-Jun",265,NA,NA,NA,NA,1994,1994,0,43.3902644,-89.4028963
"19138","Ron Shumon","Ron","Shumon","Flint","MI","USA","12/11/1955","Wichita St.","Cincinnati Bengals","9th","238th",1978,"LB","1-Jun",230,NA,NA,NA,NA,1994,1994,0,43.0125274,-83.6874562
"19139","Mark Shupe","Mark","Shupe","Lafayette","IN","USA","4/24/1961","Arizona St.",NA,NA,NA,NA,"C","5-Jun",285,NA,NA,NA,NA,1994,1994,0,30.2240897,-92.0198427
"19140","Marshall Shurnas","Marshall","Shurnas","St. Louis","MO","USA","4/1/1922","Missouri","Boston Yanks","17th","175th",1944,"E-DE","1-Jun",205,"8/19/2006","Columbia","MO",NA,1994,1994,0,38.6270025,-90.1994042
"19141","Bert Shurtleff","Bert","Shurtleff","Adamsville","RI","USA","1897-08-03","Brown",NA,NA,NA,NA,"C-G","11-May",190,"2/15/1967","Anaheim","CA",NA,1994,1994,0,35.2359146,-88.3905965
"19142","Red Shurtliffe","Red","Shurtliffe","New Martinsville","WV","USA","4/12/1907","Marietta",NA,NA,NA,NA,"WB-TB","9-May",160,"9/19/1986","Lincolnville","SC",NA,1994,1994,0,39.6445214,-80.8575993
"19143","Hubert Shurtz","Hubert","Shurtz","Pinckneyville","IL","USA","7/1/1923","LSU","Philadelphia Eagles","17th","152nd",1947,"T","3-Jun",235,"9/12/2000",NA,NA,NA,1994,1994,0,38.0803286,-89.3820321
"19144","Don Shy","Don","Shy","Cleveland","OH","USA","11/15/1945","San Diego St.","Pittsburgh Steelers","2nd","35th",1967,"RB","1-Jun",210,"10/26/2006","Bellfontaine","OH",NA,1967,1973,6,41.49932,-81.6943605
"19145","Les Shy","Les","Shy","Cleveland","OH","USA","4/5/1944","Long Beach St.","Dallas Cowboys","12th","173rd",1966,"RB","1-Jun",206,NA,NA,NA,NA,1967,1973,6,41.49932,-81.6943605
"19146","Mike Siani","Mike","Siani","Staten Island","NY","USA","5/27/1950","Villanova","Oakland Raiders","1st","21st",1972,"WR","2-Jun",195,NA,NA,NA,NA,1972,1980,8,40.5795317,-74.1502007
"19147","Mike Siano","Mike","Siano","Yeadon","PA","USA","11/29/1963","Syracuse",NA,NA,NA,NA,"WR","4-Jun",220,NA,NA,NA,NA,1972,1980,8,39.9390017,-75.2554605
"19149","Junior Siavii","Junior","Siavii","Pago Pago",NA,"American Samoa","11/14/1978","Oregon","Kansas City Chiefs","2nd","36th",2004,"DT","5-Jun",336,NA,NA,NA,NA,1972,1980,8,-14.2756319,-170.7020359
"19150","Lawrence Sidbury","Lawrence","Sidbury","Cheltenham","MD","USA","2/6/1986","Richmond","Atlanta Falcons","4th","125th",2009,"DE","2-Jun",267,NA,NA,NA,NA,2009,2013,4,40.0812601,-75.1370254
"19151","Jimmy Sidle","Jimmy","Sidle","Birmingham","AL","USA","2/7/1943","Auburn","Dallas Cowboys","4th","47th",1965,"RB","2-Jun",215,"11/14/1999","Montgomery","AL",NA,2009,2013,4,33.5185892,-86.8103567
"19152","Dainon Sidney","Dainon","Sidney","Atlanta","GA","USA","5/30/1975","East Tennessee St.","Tennessee Oilers","3rd","77th",1998,"DB","Jun-00",197,NA,NA,NA,NA,2009,2013,4,33.7489954,-84.3879824
"19153","Alex Sidorik","Alex","Sidorik","Hartford","CT","USA","12/19/1919","Mississippi St.","Boston Yanks","11th","87th",1947,"T","Jun-00",248,"4/12/1980","Middletown","CT",NA,2009,2013,4,41.7658043,-72.6733723
"19154","Wally Sieb","Wally","Sieb","Butternut","WI","USA","1899-05-06","Ripon",NA,NA,NA,NA,"HB","10-May",165,"1/18/1974","Racine","WI",NA,1922,1922,0,42.1836997,-73.3201482
"19155","John Siegal","John","Siegal","Larksville","PA","USA","5/15/1918","Columbia","Brooklyn Dodgers","17th","155th",1939,"E-DE","1-Jun",203,NA,NA,NA,NA,1922,1922,0,41.263241,-75.9270074
"19159","Jules Siegle","Jules","Siegle","East Chicago","IN","USA","2/16/1923","Northwestern",NA,NA,NA,NA,"FB-LB","Jun-00",210,NA,NA,NA,NA,1922,1922,0,41.6392024,-87.4547635
"19160","Larry Siemering","Larry","Siemering","Lodi","CA","USA","11/24/1910","San Francisco",NA,NA,NA,NA,"C","3-Jun",206,"7/27/2009","Watsonville","CA",NA,1922,1922,0,38.1341477,-121.2722194
"19161","Chuck Sieminski","Chuck","Sieminski","Swoyersville","PA","USA","7/3/1940","Penn St.","San Francisco 49ers","4th","46th",1962,"DT","5-Jun",270,NA,NA,NA,NA,1922,1922,0,41.2917475,-75.8746407
"19162","Jeff Siemon","Jeff","Siemon","Rochester","MN","USA","6/2/1950","Stanford","Minnesota Vikings","1st","10th",1972,"LB","2-Jun",235,NA,NA,NA,NA,1922,1922,0,43.1565779,-77.6088465
"19163","Troy Sienkiewicz","Troy","Sienkiewicz","Charleston","SC","USA","5/27/1972","New Mexico St.","San Diego Chargers","6th","177th",1995,"G-T","5-Jun",313,NA,NA,NA,NA,1922,1922,0,32.7764749,-79.9310512
