"","name","first_name","last_name","birth_city","birth_state","birth_country","birth_date","college","draft_team","draft_round","draft_pick","draft_year","position","height","weight","death_date","death_city","death_state","death_country","year_start","year_end","careerLength","latitude","longitude"
"38","Rick Ackerman","Rick","Ackerman","La Grange","IL","USA","6/16/1959","Memphis",NA,NA,NA,NA,"NT-DT","4-Jun",258,NA,NA,NA,NA,1980,1987,7,29.743235,-95.4010514
"39","Tom Ackerman","Tom","Ackerman","Bellingham","WA","USA","9/6/1972","East. Washington","New Orleans Saints","5th","145th",1996,"G-C","3-Jun",290,NA,NA,NA,NA,1980,1987,7,48.7519112,-122.4786854
"40","Ron Acks","Ron","Acks","Herrin","IL","USA","10/3/1944","Illinois","Minnesota Vikings","4th","57th",1966,"LB","2-Jun",214,NA,NA,NA,NA,1980,1987,7,37.8031056,-89.0275744
"41","Fred Acorn","Fred","Acorn","Rotan","TX","USA","3/17/1961","Texas","Tampa Bay Buccaneers","3rd","57th",1984,"DB","10-May",185,NA,NA,NA,NA,1984,1984,0,32.8520496,-100.4656648
"42","Ed Adamchik","Ed","Adamchik","Johnstown","PA","USA","11/2/1941","Pittsburgh","Buffalo Bills","21st","164th",1963,"C","2-Jun",235,NA,NA,NA,NA,1965,1965,0,40.3267407,-78.9219698
"43","Mike Adamle","Mike","Adamle","Kent","OH","USA","10/4/1949","Northwestern","Kansas City Chiefs","5th","120th",1971,"RB","9-May",197,NA,NA,NA,NA,1965,1965,0,41.1536674,-81.3578859
"44","Tony Adamle","Tony","Adamle","Fairmont","WV","USA","5/15/1924","Ohio St.","Chicago Bears","12th","105th",1947,"LB-FB","Jun-00",215,"10/7/2000","Kent","OH",NA,1965,1965,0,37.7924187,-122.4106758
"45","Anthony Adams","Anthony","Adams","Detroit","MI","USA","6/18/1980","Penn St.","San Francisco 49ers","2nd","57th",2003,"DT-NT","Jun-00",300,NA,NA,NA,NA,1965,1965,0,42.331427,-83.0457538
"46","Bill Adams","Bill","Adams","Lynn","MA","USA","2/4/1950","Holy Cross","Miami Dolphins","7th","161st",1972,"G-T","2-Jun",255,NA,NA,NA,NA,1965,1965,0,42.466763,-70.9494938
"47","Blue Adams","Blue","Adams","Miami","FL","USA","10/15/1979","Cincinnati","Detroit Lions","7th","220th",2003,"DB","9-May",182,NA,NA,NA,NA,1965,1965,0,25.7616798,-80.1917902
"48","Bob Adams","Bob","Adams","Stockton","CA","USA","8/15/1946","Pacific",NA,NA,NA,NA,"TE-T","2-Jun",225,NA,NA,NA,NA,1965,1965,0,37.9577016,-121.2907796
"49","Brent Adams","Brent","Adams","Elberton","GA","USA","6/26/1952","Tenn-Chattanooga","Atlanta Falcons","8th","185th",1975,"T","5-Jun",256,NA,NA,NA,NA,1965,1965,0,34.1112226,-82.8670839
"50","Charlie Adams","Charlie","Adams","Camp Hill","PA","USA","10/23/1979","Hofstra",NA,NA,NA,NA,"WR","2-Jun",190,NA,NA,NA,NA,1965,1965,0,40.2398118,-76.9199742
"51","Chet Adams","Chet","Adams","Cleveland","OH","USA","10/24/1915","Ohio","Cleveland Rams","12th","103rd",1939,"T-E-DT","3-Jun",233,"10/28/1990","Cleveland","OH",NA,1965,1965,0,41.49932,-81.6943605
"52","Curtis Adams","Curtis","Adams","Muskegon","MI","USA","4/30/1962","Central Michigan","San Diego Chargers","8th","207th",1985,"RB","Jun-00",198,NA,NA,NA,NA,1965,1965,0,43.2341813,-86.2483921
"54","David Adams","David","Adams","Tucson","AZ","USA","6/24/1964","Arizona","Indianapolis Colts","12th","309th",1987,"RB","6-May",168,NA,NA,NA,NA,1965,1965,0,32.2226066,-110.9747108
"55","Doug Adams","Doug","Adams","Xenia","OH","USA","11/3/1949","Ohio St.","Denver Broncos","7th","165th",1971,"LB","1-Jun",225,"8/9/1997","Macon","OH",NA,1965,1965,0,39.6847822,-83.9296526
"56","Earnest Adams","Earnest","Adams","Fort Lauderdale","FL","USA","3/12/1959","Illinois",NA,NA,NA,NA,"LB","3-Jun",226,NA,NA,NA,NA,1965,1965,0,26.1224386,-80.1373174
"57","Flozell Adams","Flozell","Adams","Bellwood","FL","USA","5/18/1975","Michigan St.","Dallas Cowboys","2nd","38th",1998,"T-G-TE","7-Jun",335,NA,NA,NA,NA,1965,1965,0,41.8814197,-87.883117
"58","Gaines Adams","Gaines","Adams","Greenwood","SC","USA","6/8/1983","Clemson","Tampa Bay Buccaneers","1st","4th",2007,"DE","5-Jun",258,"1/17/2010","Greenwood","SC",NA,1965,1965,0,39.6136578,-86.1066526
"59","George Adams","George","Adams","Lexington","KY","USA","12/22/1962","Kentucky","New York Giants","1st","19th",1985,"RB","1-Jun",225,NA,NA,NA,NA,1965,1965,0,38.0405837,-84.5037164
"60","Henry Adams","Henry","Adams","California","PA","USA","12/24/1915","Pittsburgh",NA,NA,NA,NA,"C","1-Jun",190,NA,NA,NA,NA,1965,1965,0,36.778261,-119.4179324
"61","Jamar Adams","Jamar","Adams","Matthews","NC","USA","11/29/1985","Michigan",NA,NA,NA,NA,"DB","2-Jun",209,NA,NA,NA,NA,1965,1965,0,35.1168131,-80.7236804
"64","John Adams","John","Adams","Charleston","AR","USA","9/22/1921","Notre Dame","Washington Redskins","3rd","23rd",1945,"T","7-Jun",242,"8/20/1969","Bethesda","MD",NA,1965,1965,0,32.7764749,-79.9310512
"65","John Adams","John","Adams","San Diego","CA","USA","11/28/1937","UCLA","Chicago Bears","5th","57th",1959,"E-FB","3-Jun",235,"8/8/1995","Helendale","CA",NA,1965,1965,0,32.715738,-117.1610838
"67","Julius Adams","Julius","Adams","Macon","GA","USA","4/26/1948","Texas Southern","New England Patriots","2nd","27th",1971,"DE-DT","3-Jun",270,NA,NA,NA,NA,1965,1965,0,32.8406946,-83.6324022
"68","Keith Adams","Keith","Adams","Norwood","MA","USA","11/22/1979","Clemson","Tennessee Titans","7th","232nd",2001,"LB","11-May",223,NA,NA,NA,NA,1965,1965,0,42.1943909,-71.1989695
"72","Michael Adams","Michael","Adams","Shelby","MS","USA","4/5/1964","Arkansas St.","New Orleans Saints","3rd","67th",1987,"DB","9-May",195,NA,NA,NA,NA,1965,1965,0,36.0719571,-115.1792245
"73","Michael Adams","Michael","Adams","Dallas","TX","USA","6/17/1985","La-Lafayette",NA,NA,NA,NA,"DB","8-May",178,NA,NA,NA,NA,1965,1965,0,32.7766642,-96.7969879
"74","Mike Adams","Mike","Adams","Dallas","TX","USA","3/25/1974","Texas","Pittsburgh Steelers","7th","223rd",1997,"WR","11-May",185,NA,NA,NA,NA,1965,1965,0,32.7766642,-96.7969879
"75","Mike Adams","Mike","Adams","Paterson","NJ","USA","3/24/1981","Delaware",NA,NA,NA,NA,"DB","10-May",195,NA,NA,NA,NA,1965,1965,0,40.9167654,-74.171811
"77","Neal Adams","Neal","Adams","El Paso","AR","USA","1/21/1919","Arkansas",NA,NA,NA,NA,"E","3-Jun",195,"10/27/1998","Sand Springs","OK",NA,1965,1965,0,31.7618778,-106.4850217
"78","Pete Adams","Pete","Adams","San Diego","CA","USA","5/4/1951","USC","Cleveland Browns","1st","22nd",1973,"G","4-Jun",260,NA,NA,NA,NA,1965,1965,0,32.715738,-117.1610838
"79","Phillip Adams","Phillip","Adams","Rock Hill","SC","USA","7/20/1988","South Carolina St.","San Francisco 49ers","7th","224th",2010,"DB","Jun-00",193,NA,NA,NA,NA,1965,1965,0,34.9248667,-81.0250784
"80","Sam Adams","Sam","Adams","Jasper","TX","USA","9/20/1948","Prairie View",NA,NA,NA,NA,"G-T","3-Jun",256,NA,NA,NA,NA,1965,1965,0,38.3914418,-86.9311094
"81","Sam Adams","Sam","Adams","Houston","TX","USA","6/13/1973","Texas A&M","Seattle Seahawks","1st","8th",1994,"DT-DE","3-Jun",295,NA,NA,NA,NA,1965,1965,0,29.7604267,-95.3698028
"82","Scott Adams","Scott","Adams","Lake City","FL","USA","9/28/1966","Georgia",NA,NA,NA,NA,"G-T","5-Jun",301,NA,NA,NA,NA,1965,1965,0,30.1896756,-82.6392899
"83","Stan Adams","Stan","Adams","Marion","AR","USA","5/22/1960","Memphis",NA,NA,NA,NA,"LB","2-Jun",215,NA,NA,NA,NA,1965,1965,0,40.5886699,-83.1285242
"84","Stefon Adams","Stefon","Adams","High Point","NC","USA","8/11/1963","East Carolina","Los Angeles Raiders","3rd","80th",1985,"DB","10-May",189,NA,NA,NA,NA,1965,1965,0,35.9556923,-80.0053176
"85","Theo Adams","Theo","Adams","San Francisco","CA","USA","4/24/1966","Hawaii",NA,NA,NA,NA,"T","4-Jun",300,NA,NA,NA,NA,1965,1965,0,37.7749295,-122.4194155
"86","Titus Adams","Titus","Adams","Omaha","NE","USA","1/28/1983","Nebraska","New York Jets","7th","220th",2006,"DT","3-Jun",305,NA,NA,NA,NA,1965,1965,0,41.2565369,-95.9345034
"87","Tom Adams","Tom","Adams","Keewatin","MN","USA","4/26/1940","Minnesota-Duluth",NA,NA,NA,NA,"WR","5-Jun",215,NA,NA,NA,NA,1965,1965,0,47.3970464,-93.0778962
"88","Tony Adams","Tony","Adams","San Antonio","TX","USA","3/9/1950","Texas","San Diego Chargers","14th","343rd",1973,"QB","Jun-00",198,NA,NA,NA,NA,1965,1965,0,29.4241219,-98.4936282
"89","Vashone Adams","Vashone","Adams","Aurora","CO","USA","9/12/1973","Fort Hays St.",NA,NA,NA,NA,"DB","10-May",197,NA,NA,NA,NA,1965,1965,0,41.7605849,-88.3200715
"90","Verlin Adams","Verlin","Adams","Burnwell","KY","USA","7/14/1918","Charleston (WV)","New York Giants","31st","291st",1943,"DE-T-G-E-LB","Jun-00",205,"4/30/1985","Charleston","WV",NA,1965,1965,0,33.7055489,-87.0842581
"91","Willie Adams","Willie","Adams","Corpus Christi","TX","USA","12/12/1941","New Mexico St.","Washington Redskins","11th","146th",1965,"DE-LB","2-Jun",235,NA,NA,NA,NA,1965,1965,0,27.8005828,-97.396381
"92","Willis Adams","Willis","Adams","Weimar","TX","USA","8/22/1956","Houston","Cleveland Browns","1st","20th",1979,"WR","2-Jun",194,NA,NA,NA,NA,1965,1965,0,50.9794934,11.3235439
"93","Ken Adamson","Ken","Adamson","Phoenix","AZ","USA","10/12/1938","Notre Dame",NA,NA,NA,NA,"G","2-Jun",235,NA,NA,NA,NA,1965,1965,0,33.4483771,-112.0740373
"96","Joseph Addai","Joseph","Addai","Houston","TX","USA","5/3/1983","LSU","Indianapolis Colts","1st","30th",2006,"RB","11-May",210,NA,NA,NA,NA,2013,2013,0,29.7604267,-95.3698028
"97","Abe Addams","Abe","Addams","Louisville","KY","USA","7/12/1926","Indiana",NA,NA,NA,NA,"DE","2-Jun",220,NA,NA,NA,NA,2013,2013,0,38.2526647,-85.7584557
"98","Herb Adderley","Herb","Adderley","Philadelphia","PA","USA","6/8/1939","Michigan St.","Green Bay Packers","1st","12th",1961,"DB","Jun-00",205,NA,NA,NA,NA,2013,2013,0,39.9525839,-75.1652215
"100","Tom Addison","Tom","Addison","Lancaster","SC","USA","4/12/1936","South Carolina","Baltimore Colts","12th","141st",1958,"LB","2-Jun",230,"6/14/2011","Bluffton","SC",NA,2013,2013,0,40.0378755,-76.3055144
"101","Nick Adduci","Nick","Adduci","Chicago","IL","USA","7/12/1929","Nebraska",NA,NA,NA,NA,"LB","10-May",207,"11/4/2005","Chicago","IL",NA,2013,2013,0,41.8781136,-87.6297982
"103","Xavier Adibi","Xavier","Adibi","Stillwater","OK","USA","10/18/1984","Virginia Tech","Houston Texans","4th","118th",2008,"LB","2-Jun",220,NA,NA,NA,NA,2008,2012,4,45.056004,-92.8088443
"104","John Adickes","John","Adickes","Queens","NY","USA","6/29/1964","Baylor","Chicago Bears","6th","154th",1987,"C","3-Jun",264,NA,NA,NA,NA,2008,2012,4,40.7282239,-73.7948516
"106","Bob Adkins","Bob","Adkins","Letart","WV","USA","2/17/1917","Marshall",NA,NA,NA,NA,"BB-DE-G-LB","1-Jun",213,"12/6/1997","Pleasant Valley","WV",NA,1940,1945,5,38.8948034,-81.9334704
"107","Kevin Adkins","Kevin","Adkins","Midwest City","OK","USA","8/27/1965","Oklahoma",NA,NA,NA,NA,"DB","1-Jun",250,NA,NA,NA,NA,1940,1945,5,35.4495065,-97.3967019
"108","Margene Adkins","Margene","Adkins","Fort Worth","TX","USA","4/30/1947","Henderson JC","Dallas Cowboys","2nd","49th",1970,"WR","10-May",183,NA,NA,NA,NA,1940,1945,5,32.7554883,-97.3307658
"109","Roy Adkins","Roy","Adkins","Bement","IL","USA","1898-10-05","Millikin",NA,NA,NA,NA,"G","7-May",180,"2/10/1975","Montclair","NJ",NA,1940,1945,5,42.5482827,-72.6037502
"110","Sam Adkins","Sam","Adkins","Van Nuys","CA","USA","5/21/1955","Wichita St.","Seattle Seahawks","10th","254th",1977,"QB","2-Jun",214,NA,NA,NA,NA,1940,1945,5,34.1898566,-118.451357
"111","Spencer Adkins","Spencer","Adkins","Naples","FL","USA","5/16/1987","Miami (FL)","Atlanta Falcons","6th","176th",2009,"LB","11-May",246,NA,NA,NA,NA,1940,1945,5,40.8517983,14.26812
"112","James Adkisson","James","Adkisson","St. Louis","MO","USA","1/11/1980","South Carolina",NA,NA,NA,NA,"WR","5-Jun",230,NA,NA,NA,NA,1940,1945,5,38.6270025,-90.1994042
"114","Al Afalava","Al","Afalava","Laie","HI","USA","1/20/1987","Oregon St.","Chicago Bears","6th","190th",2009,"DB","11-May",213,NA,NA,NA,NA,2009,2012,3,21.6482858,-157.9225549
"115","Erik Affholter","Erik","Affholter","Detroit","MI","USA","4/10/1966","USC","Washington Redskins","4th","110th",1989,"WR","Jun-00",187,NA,NA,NA,NA,1991,1991,0,42.331427,-83.0457538
"116","Dick Afflis","Dick","Afflis","Lafayette","IN","USA","6/27/1929","Purdue","Green Bay Packers","16th","186th",1951,"T-DG-G","Jun-00",251,"11/10/1991","Largo","FL",NA,1991,1991,0,30.2240897,-92.0198427
"117","Ben Agajanian","Ben","Agajanian","Santa Ana","CA","USA","8/28/1919","New Mexico",NA,NA,NA,NA,"K","Jun-00",215,NA,NA,NA,NA,1945,1964,19,33.7454725,-117.867653
"118","Alex Agase","Alex","Agase","Chicago","IL","USA","3/27/1922","Purdue","Green Bay Packers","8th","71st",1944,"LB-G","10-May",212,"5/3/2007","Tarpon Springs","FL",NA,1945,1964,19,41.8781136,-87.6297982
"119","Louis Age","Louis","Age","New Orleans","LA","USA","2/1/1970","La-Lafayette","Chicago Bears","11th","304th",1992,"T","7-Jun",350,NA,NA,NA,NA,1992,1992,0,29.9510658,-90.0715323
"120","Mel Agee","Mel","Agee","Chicago","IL","USA","11/22/1968","Illinois","Indianapolis Colts","6th","152nd",1991,"DE-DT","5-Jun",300,"6/15/2008","Lawrenceville","GA",NA,1992,1992,0,41.8781136,-87.6297982
"121","Sam Agee","Sam","Agee","Courtland","AL","USA","10/21/1915","Vanderbilt",NA,NA,NA,NA,"FB","1-Jun",218,"11/2/2006","Sparta","TN",NA,1992,1992,0,43.0170506,-83.6315051
"122","Tommie Agee","Tommie","Agee","Chilton","AL","USA","2/22/1964","Auburn","Seattle Seahawks","5th","119th",1987,"RB","Jun-00",225,NA,NA,NA,NA,1992,1992,0,44.0288803,-88.1628785
"123","Bob Agler","Bob","Agler","Columbus","OH","USA","3/13/1924","Otterbein",NA,NA,NA,NA,"HB-DB-FB-LB","1-Jun",208,"9/16/2005","Westerville","OH",NA,1948,1949,1,39.9611755,-82.9987942
"124","Ray Agnew","Ray","Agnew","Winston-Salem","NC","USA","12/9/1967","North Carolina St.","New England Patriots","1st","10th",1990,"DT-DE","3-Jun",285,NA,NA,NA,NA,1990,2000,10,36.0998596,-80.244216
"126","Louie Aguiar","Louie","Aguiar","Livermore","CA","USA","6/30/1966","Utah St.",NA,NA,NA,NA,"P","2-Jun",215,NA,NA,NA,NA,1991,2000,9,37.6818745,-121.7680088
"127","Joe Aguirre","Joe","Aguirre","Rock Springs","WV","USA","10/17/1918","St. Mary's (CA)","Washington Redskins","11th","100th",1941,"E","4-Jun",225,"7/13/1985","Grass Valley","CA",NA,1991,2000,9,41.5874644,-109.2029043
"128","C.J. Ah You","C.J.","Ah","LaHabra","CA","USA","7/7/1982","Oklahoma","Buffalo Bills","7th","239th",2007,"DE","4-Jun",265,NA,NA,NA,NA,2009,2011,2,33.9318591,-117.946137
"129","Chidi Ahanotu","Chidi","Ahanotu","Modesto","CA","USA","10/11/1970","California","Tampa Bay Buccaneers","6th","145th",1993,"DE-DT","2-Jun",283,NA,NA,NA,NA,1993,2004,11,37.6390972,-120.9968782
"130","Dan Ahern","Dan","Ahern","Manchester","NH","USA","1898-02-15","Georgetown (DC)",NA,NA,NA,NA,"T","2-Jun",200,"8/31/1963","Washington","DC",NA,1921,1921,0,53.4807593,-2.2426305
"131","Dave Ahrens","Dave","Ahrens","Cedar Falls","IA","USA","12/5/1958","Wisconsin","St. Louis Cardinals","6th","143rd",1981,"LB","3-Jun",238,NA,NA,NA,NA,1981,1990,9,42.5348993,-92.4453161
"132","Tony Aiello","Tony","Aiello","Monongahela","PA","USA","4/29/1921","Youngstown St.",NA,NA,NA,NA,"WB-BB","6-May",165,"2/24/2012","Norwalk","OH",NA,1944,1944,0,39.9504343,-79.9949266
"135","Sam Aiken","Sam","Aiken","Kenansville","NC","USA","12/14/1980","North Carolina","Buffalo Bills","4th","127th",2003,"WR","2-Jun",204,NA,NA,NA,NA,2011,2013,2,34.9623883,-77.9622069
"136","Carl Aikens","Carl","Aikens","Great Lakes","IL","USA","6/5/1962","Northern Illinois",NA,NA,NA,NA,"WR","1-Jun",185,NA,NA,NA,NA,2011,2013,2,45.0522366,-82.4846115
"137","Troy Aikman","Troy","Aikman","West Covina","CA","USA","11/21/1966","Oklahoma","Dallas Cowboys","1st","1st",1989,"QB","4-Jun",219,NA,NA,NA,NA,2011,2013,2,34.0686208,-117.9389526
"138","Jim Ailinger","Jim","Ailinger","Buffalo","NY","USA","7/10/1901","Buffalo",NA,NA,NA,NA,"G","11-May",185,"3/27/2001","Rochester","NY",NA,1924,1924,0,42.8864468,-78.8783689
"139","Charles Aiu","Charles","Aiu","Honolulu","HI","USA","5/22/1954","Hawaii",NA,NA,NA,NA,"G","2-Jun",251,"12/28/2001",NA,NA,NA,1976,1978,2,21.3069444,-157.8583333
"141","Seyi Ajirotutu","Seyi","Ajirotutu","El Dorado Hills","CA","USA","6/12/1987","Fresno St.",NA,NA,NA,NA,"WR","3-Jun",211,NA,NA,NA,NA,2010,2013,3,38.6857367,-121.082167
"142","Hakim Akbar","Hakim","Akbar","Riverside","CA","USA","8/11/1980","Washington","New England Patriots","5th","163rd",2001,"LB","Jun-00",222,NA,NA,NA,NA,2001,2002,1,33.9806005,-117.3754942
"143","David Akers","David","Akers","Lexington","KY","USA","12/9/1974","Louisville",NA,NA,NA,NA,"K","10-May",200,NA,NA,NA,NA,1998,2013,15,38.0405837,-84.5037164
"144","Harold Akin","Harold","Akin","McAlester","OK","USA","1/11/1945","Oklahoma St.","San Diego Chargers","3rd","67th",1967,"T","5-Jun",260,NA,NA,NA,NA,1967,1968,1,34.9334298,-95.7697131
"145","Len Akin","Len","Akin","McKinney","TX","USA","4/8/1916","Baylor","Chicago Bears","7th","57th",1940,"G-LB","11-May",207,"3/5/1987","Irving","TX",NA,1967,1968,1,33.1972465,-96.6397822
"146","Al Akins","Al","Akins","Spokane","WA","USA","6/13/1921","Washington","Cleveland Rams","6th","53rd",1944,"HB-DB","1-Jun",199,"8/29/1995","Reno","NV",NA,1967,1968,1,47.6587802,-117.4260465
"147","Chris Akins","Chris","Akins","Little Rock","AR","USA","11/29/1976","Arkansas","Green Bay Packers","7th","212th",1999,"DB","11-May",200,NA,NA,NA,NA,1967,1968,1,34.7464809,-92.2895948
"148","Frank Akins","Frank","Akins","John","MT","USA","3/31/1919","Washington St.","Washington Redskins","30th","290th",1943,"FB","10-May",208,"7/6/1992","Redding","CA",NA,1967,1968,1,37.09024,-95.712891
"149","Mike Akiu","Mike","Akiu","Kailua","HI","USA","2/12/1962","Washington St.","Houston Oilers","7th","170th",1985,"WR","9-May",182,NA,NA,NA,NA,1967,1968,1,21.4022222,-157.7394444
"150","Anthony Alabi","Anthony","Alabi","San Antonio","TX","USA","2/16/1981","TCU","Miami Dolphins","5th","162nd",2005,"T","5-Jun",315,NA,NA,NA,NA,2006,2007,1,29.4241219,-98.4936282
"151","Ikaika Alama-Francis","Ikaika","Alama-Francis","Kane'ohe","HI","USA","12/4/1984","Hawaii","Detroit Lions","2nd","58th",2007,"DE","5-Jun",280,NA,NA,NA,NA,2006,2007,1,21.3996475,-157.7973653
