"","name","first_name","last_name","birth_city","birth_state","birth_country","birth_date","college","draft_team","draft_round","draft_pick","draft_year","position","height","weight","death_date","death_city","death_state","death_country","year_start","year_end","careerLength","latitude","longitude"
"12688","Jeff Linkenbach","Jeff","Linkenbach","Sandusky","OH","USA","6/9/1987","Cincinnati",NA,NA,NA,NA,"T","6-Jun",303,NA,NA,NA,NA,1966,1967,1,41.4561754,-82.7116821
"12689","Jack Linn","Jack","Linn","Sewickley","PA","USA","6/10/1967","West Virginia","Detroit Lions","9th","229th",1990,"T-G","5-Jun",295,NA,NA,NA,NA,1966,1967,1,40.5364846,-80.1844243
"12690","Frank Linnan","Frank","Linnan","Pochahontas","IA","USA","1895-02-20","Marquette",NA,NA,NA,NA,"T-G","2-Jun",198,"6/2/1981","Tequesta","FL",NA,1966,1967,1,36.2614554,-90.971233
"12692","Larry Linne","Larry","Linne","Baltimore","MD","USA","7/20/1962","Texas",NA,NA,NA,NA,"WR","1-Jun",185,NA,NA,NA,NA,1966,1967,1,39.2903848,-76.6121893
"12693","Chris Linnin","Chris","Linnin","Pasadena","CA","USA","5/4/1957","Washington","New York Giants","7th","181st",1980,"DE","4-Jun",255,NA,NA,NA,NA,1966,1967,1,34.1477849,-118.1445155
"12694","Jonathan Linton","Jonathan","Linton","Catasauqua","PA","USA","11/7/1974","North Carolina","Buffalo Bills","5th","131st",1998,"RB","1-Jun",234,NA,NA,NA,NA,1966,1967,1,40.6548191,-75.4746273
"12695","Joe Lintzenich","Joe","Lintzenich","Webster Grove","MO","USA","3/26/1908","St. Louis",NA,NA,NA,NA,"HB","11-May",187,"6/23/1985","Creve Coeur","MO",NA,1966,1967,1,38.5925524,-90.3573389
"12696","Augie Lio","Augie","Lio","East Boston","MA","USA","4/30/1918","Georgetown (DC)","Detroit Lions","4th","30th",1941,"G-T","Jun-00",234,"9/3/1989","Clifton","NJ",NA,1941,1947,6,42.3702137,-71.0388601
"12697","Jim Lipinski","Jim","Lipinski","Monongah","WV","USA","2/25/1927","Fairmont St.","Chicago Cardinals","22nd","281st",1950,"T-DT","4-Jun",238,"5/28/2011","Sarasota","FL",NA,1950,1950,0,39.462585,-80.2181377
"12698","Ronnie Lippett","Ronnie","Lippett","Melbourne","FL","USA","12/10/1960","Miami (FL)","New England Patriots","8th","214th",1983,"DB","11-May",180,NA,NA,NA,NA,1950,1950,0,-37.8136276,144.9630576
"12699","Louis Lipps","Louis","Lipps","New Orleans","LA","USA","8/9/1962","Southern Miss","Pittsburgh Steelers","1st","23rd",1984,"WR","10-May",190,NA,NA,NA,NA,1950,1950,0,29.9510658,-90.0715323
"12700","Gene Lipscomb","Gene","Lipscomb","Detroit","MI","USA","8/9/1931","none",NA,NA,NA,NA,"DT","6-Jun",284,"5/10/1963","Baltimore","MD",NA,1950,1950,0,42.331427,-83.0457538
"12701","Paul Lipscomb","Paul","Lipscomb","Benton","IL","USA","1/13/1923","Tennessee",NA,NA,NA,NA,"T-DT","5-Jun",246,"8/20/1964","Elm Grove","WI",NA,1950,1950,0,46.3166362,-119.5021582
"12703","Don Lisbon","Don","Lisbon","Youngstown","OH","USA","1/15/1941","Bowling Green","San Francisco 49ers","3rd","36th",1963,"HB","10-May",197,NA,NA,NA,NA,1963,1964,1,41.0997803,-80.6495194
"12704","Rusty Lisch","Rusty","Lisch","Belleville","IL","USA","12/21/1956","Notre Dame","St. Louis Cardinals","4th","89th",1980,"QB","3-Jun",213,NA,NA,NA,NA,1963,1964,1,38.5200504,-89.9839935
"12705","Tony Liscio","Tony","Liscio","Pittsburgh","PA","USA","7/2/1940","Tulsa","Green Bay Packers","3rd","42nd",1963,"T-G","5-Jun",264,NA,NA,NA,NA,1963,1964,1,40.4406248,-79.9958864
"12706","Pete Liske","Pete","Liske","Plainfield","NJ","USA","5/24/1942","Penn St.","New York Jets","15th","115th",1963,"QB","3-Jun",200,NA,NA,NA,NA,1963,1964,1,39.7042123,-86.3994387
"12707","Sean Lissemore","Sean","Lissemore","Teaneck","NJ","USA","9/11/1987","William & Mary","Dallas Cowboys","7th","234th",2010,"DE","4-Jun",286,NA,NA,NA,NA,1963,1964,1,40.8932469,-74.0116536
"12709","Ed Listopad","Ed","Listopad","Baltimore","MD","USA","8/28/1929","Wake Forest","Chicago Cardinals","19th","219th",1952,"G","1-Jun",230,NA,NA,NA,NA,1963,1964,1,39.2903848,-76.6121893
"12710","Greg Liter","Greg","Liter","Wausau","WI","USA","12/31/1963","Iowa St.",NA,NA,NA,NA,"DE","6-Jun",275,NA,NA,NA,NA,1987,1987,0,44.9591352,-89.6301221
"12712","Dave Little","Dave","Little","Selma","CA","USA","4/18/1961","Middle Tenn. St.",NA,NA,NA,NA,"TE","2-Jun",233,NA,NA,NA,NA,1987,1987,0,32.4073589,-87.0211007
"12713","David Little","David","Little","Miami","FL","USA","1/3/1959","Florida","Pittsburgh Steelers","7th","183rd",1981,"LB","1-Jun",232,"3/17/2005","Miami","FL",NA,1987,1987,0,25.7616798,-80.1917902
"12714","Earl Little","Earl","Little","Miami","FL","USA","3/10/1973","Michigan",NA,NA,NA,NA,"DB","1-Jun",200,NA,NA,NA,NA,1987,1987,0,25.7616798,-80.1917902
"12715","Everett Little","Everett","Little","Lufkin","TX","USA","6/12/1954","Houston","Tampa Bay Buccaneers","4th","124th",1976,"G","4-Jun",265,NA,NA,NA,NA,1987,1987,0,31.3382406,-94.729097
"12716","Floyd Little","Floyd","Little","New Haven","CT","USA","7/4/1942","Syracuse","Denver Broncos","1st","6th",1967,"RB","10-May",196,NA,NA,NA,NA,1987,1987,0,41.308274,-72.9278835
"12717","George Little","George","Little","Duquesne","PA","USA","6/27/1963","Iowa","Miami Dolphins","3rd","65th",1985,"DE-NT","4-Jun",278,NA,NA,NA,NA,1987,1987,0,40.4374516,-79.9905863
"12719","Jack Little","Jack","Little","Corpus Christi","TX","USA","12/31/1931","Texas A&M","Baltimore Colts","5th","50th",1953,"T","4-Jun",235,NA,NA,NA,NA,1987,1987,0,27.8005828,-97.396381
"12721","John Little","John","Little","Tallulah","LA","USA","5/3/1947","Oklahoma St.","New York Jets","14th","358th",1970,"DT-DE-NT","3-Jun",241,"7/9/1997","Hot Coffee","MS",NA,1987,1987,0,34.7335338,-83.3715276
"12722","Larry Little","Larry","Little","Groveland","GA","USA","11/2/1945","Bethune-Cookman",NA,NA,NA,NA,"G-T","1-Jun",265,NA,NA,NA,NA,1987,1987,0,37.8388779,-120.2308167
"12723","Leonard Little","Leonard","Little","Asheville","NC","USA","10/19/1974","Tennessee","St. Louis Rams","3rd","65th",1998,"DE","3-Jun",261,NA,NA,NA,NA,1987,1987,0,35.5950581,-82.5514869
"12724","Lou Little","Lou","Little","Boston","MA","USA","1891-12-06","Vermont",NA,NA,NA,NA,"T","Jun-00",205,"5/28/1979","Delray Beach","FL",NA,1987,1987,0,42.3600825,-71.0588801
"12725","Steve Little","Steve","Little","Springfield","IL","USA","2/19/1956","Arkansas","St. Louis Cardinals","1st","15th",1978,"K","Jun-00",180,"9/6/1999","Little Rock","AR",NA,1987,1987,0,42.1014831,-72.589811
"12727","Carl Littlefield","Carl","Littlefield","Plymouth","CA","USA","8/6/1916","Washington St.",NA,NA,NA,NA,"B","Jun-00",200,"5/23/1988","Plymouth","CA",NA,1987,1987,0,41.9584457,-70.6672621
"12728","Jody Littleton","Jody","Littleton","Denver","CO","USA","10/23/1974","Baylor",NA,NA,NA,NA,"LB","1-Jun",235,NA,NA,NA,NA,1987,1987,0,39.7392358,-104.990251
"12732","Virgil Livers","Virgil","Livers","Fairfield","KY","USA","3/26/1952","West. Kentucky","Chicago Bears","4th","83rd",1975,"DB","8-May",176,NA,NA,NA,NA,2011,2011,0,41.1408363,-73.2612615
"12733","Nate Livings","Nate","Livings","Lake Charles","LA","USA","3/16/1982","LSU",NA,NA,NA,NA,"G","4-Jun",315,NA,NA,NA,NA,2011,2011,0,30.2265949,-93.2173758
"12734","Andy Livingston","Andy","Livingston","Eufaula","OK","USA","10/21/1944","Phoenix College (JC)",NA,NA,NA,NA,"RB","1-Jun",236,NA,NA,NA,NA,2011,2011,0,31.8912717,-85.1454876
"12736","Cliff Livingston","Cliff","Livingston","Compton","CA","USA","7/2/1930","UCLA",NA,NA,NA,NA,"LB-DE","3-Jun",218,"3/13/2010","Las Vegas","NV",NA,2011,2011,0,33.8958492,-118.2200712
"12737","Dale Livingston","Dale","Livingston","Plymouth","MI","USA","3/12/1945","East. Michigan","Cincinnati Bengals","3rd","83rd",1968,"K","Jun-00",210,"1/5/2009","Green Bay","WI",NA,2011,2011,0,41.9584457,-70.6672621
"12738","Howie Livingston","Howie","Livingston","Los Angeles","CA","USA","5/15/1922","Fullerton JC",NA,NA,NA,NA,"FB-WB-HB","1-Jun",183,"7/27/1994","Yorba Linda","CA",NA,2011,2011,0,34.0522342,-118.2436849
"12739","Mike Livingston","Mike","Livingston","Dallas","TX","USA","11/14/1945","SMU","Kansas City Chiefs","2nd","48th",1968,"QB","4-Jun",212,NA,NA,NA,NA,2011,2011,0,32.7766642,-96.7969879
"12740","Ted Livingston","Ted","Livingston","Ellsworth","KS","USA","2/18/1913","Kansas St.",NA,NA,NA,NA,"T-G","3-Jun",219,"6/8/1984","Cleveland","OH",NA,2011,2011,0,44.5434095,-68.4194641
"12741","Walt Livingston","Walt","Livingston","Ravenna","OH","USA","9/12/1934","Heidelberg","Baltimore Colts","20th","234th",1957,"HB","Jun-00",185,NA,NA,NA,NA,2011,2011,0,44.4183598,12.2035294
"12742","Warren Livingston","Warren","Livingston","Eufaula","OK","USA","7/5/1938","Arizona",NA,NA,NA,NA,"DB","10-May",192,NA,NA,NA,NA,2011,2011,0,31.8912717,-85.1454876
"12743","Bob Livingstone","Bob","Livingstone","Hammond","IN","USA","5/11/1922","Notre Dame","Chicago Bears","22nd","225th",1945,"HB-DB","Jun-00",173,NA,NA,NA,NA,2011,2011,0,41.5833688,-87.5000412
"12744","Chris Liwienski","Chris","Liwienski","Sterling Heights","MI","USA","8/2/1975","Indiana","Detroit Lions","7th","207th",1998,"G-T","5-Jun",325,NA,NA,NA,NA,1998,2007,9,42.5803122,-83.0302033
"12745","Brandon Lloyd","Brandon","Lloyd","Kansas City","MO","USA","7/5/1981","Illinois","San Francisco 49ers","4th","124th",2003,"WR","Jun-00",192,NA,NA,NA,NA,2003,2012,9,39.0997265,-94.5785667
"12746","Dan Lloyd","Dan","Lloyd","Heber","UT","USA","11/9/1953","Washington","New York Giants","6th","162nd",1976,"LB","2-Jun",225,NA,NA,NA,NA,2003,2012,9,40.5070087,-111.4133234
"12747","Dave Lloyd","Dave","Lloyd","Sapulpa","OK","USA","11/9/1936","Texas Tech","Cleveland Browns","4th","47th",1959,"LB-C","3-Jun",247,NA,NA,NA,NA,2003,2012,9,35.9987007,-96.1141664
"12748","Doug Lloyd","Doug","Lloyd","Beaver Dam","WI","USA","8/31/1965","North Dakota St.","Los Angeles Raiders","6th","156th",1989,"RB","1-Jun",220,NA,NA,NA,NA,2003,2012,9,43.4577692,-88.837329
"12749","Greg Lloyd","Greg","Lloyd","Miami","FL","USA","5/26/1965","Fort Valley St.","Pittsburgh Steelers","6th","150th",1987,"LB","2-Jun",228,NA,NA,NA,NA,2003,2012,9,25.7616798,-80.1917902
"12751","Jeff Lloyd","Jeff","Lloyd","St. Mary's","PA","USA","3/14/1954","West Texas A&M","Seattle Seahawks","3rd","62nd",1976,"DE-NT","6-Jun",255,NA,NA,NA,NA,2003,2012,9,39.0259592,-94.2640066
"12752","Rhys Lloyd","Rhys","Lloyd","Dover",NA,"England","6/5/1982","Minnesota",NA,NA,NA,NA,"K","11-May",231,NA,NA,NA,NA,2003,2012,9,39.158168,-75.5243682
"12753","Phil Loadholt","Phil","Loadholt","Honolulu","HI","USA","1/21/1986","Oklahoma","Minnesota Vikings","2nd","54th",2009,"T","8-Jun",343,NA,NA,NA,NA,2009,2013,4,21.3069444,-157.8583333
"12754","Bill Lobenstein","Bill","Lobenstein","Mauston","WI","USA","5/11/1961","Wisconsin",NA,NA,NA,NA,"DE","3-Jun",261,NA,NA,NA,NA,1987,1987,0,43.7971946,-90.0773495
"12755","Greg Loberg","Greg","Loberg","San Rafael","CA","USA","12/7/1961","California",NA,NA,NA,NA,"G-T","4-Jun",264,NA,NA,NA,NA,1987,1987,0,37.9735346,-122.5310874
"12758","Bret Lockett","Bret","Lockett","San Dimas","CA","USA","10/7/1986","UCLA",NA,NA,NA,NA,"DB","1-Jun",210,NA,NA,NA,NA,2013,2013,0,34.1066756,-117.8067257
"12759","Charles Lockett","Charles","Lockett","Los Angeles","CA","USA","10/1/1965","Long Beach St.","Pittsburgh Steelers","3rd","66th",1987,"WR","Jun-00",178,NA,NA,NA,NA,2013,2013,0,34.0522342,-118.2436849
"12760","Danny Lockett","Danny","Lockett","Fort Valley","GA","USA","7/11/1964","Arizona","Detroit Lions","6th","148th",1987,"LB","2-Jun",239,NA,NA,NA,NA,2013,2013,0,32.5537585,-83.8874084
"12761","Frank Lockett","Frank","Lockett","Independence","LA","USA","6/1/1957","Nebraska","Green Bay Packers","10th","264th",1979,"WR","Jun-00",200,NA,NA,NA,NA,2013,2013,0,39.0911161,-94.4155068
"12762","J.W. Lockett","J.W.","Lockett","Bardwell","TX","USA","3/23/1937","Central Oklahoma",NA,NA,NA,NA,"FB","2-Jun",226,NA,NA,NA,NA,2013,2013,0,32.2690354,-96.6961027
"12763","Kevin Lockett","Kevin","Lockett","Tulsa","OK","USA","9/8/1974","Kansas St.","Kansas City Chiefs","2nd","47th",1997,"WR","Jun-00",186,NA,NA,NA,NA,2013,2013,0,36.1539816,-95.992775
"12764","Wade Lockett","Wade","Lockett","Los Angeles","CA","USA","2/13/1964","Cal State-Fullerton",NA,NA,NA,NA,"WR","1-Jun",190,NA,NA,NA,NA,2013,2013,0,34.0522342,-118.2436849
"12766","Eugene Lockhart","Eugene","Lockhart","Crockett","TX","USA","3/8/1961","Houston","Dallas Cowboys","6th","152nd",1984,"LB","2-Jun",234,NA,NA,NA,NA,2013,2013,0,31.3182359,-95.4566136
"12767","Spider Lockhart","Spider","Lockhart","Dallas","TX","USA","4/6/1943","North Texas","New York Giants","13th","169th",1965,"DB","2-Jun",175,"7/8/1986","Hackensack","NJ",NA,2013,2013,0,32.7766642,-96.7969879
"12768","Sean Locklear","Sean","Locklear","Lumberton","SC","USA","5/29/1981","North Carolina St.","Seattle Seahawks","3rd","84th",2004,"T-G","4-Jun",301,NA,NA,NA,NA,2013,2013,0,34.6182199,-79.0086424
"12770","Billy Locklin","Billy","Locklin","Rockdale","TX","USA","8/13/1937","New Mexico St.",NA,NA,NA,NA,"LB","2-Jun",225,NA,NA,NA,NA,2013,2013,0,30.6554759,-97.0013744
"12771","Kerry Locklin","Kerry","Locklin","Las Cruces","NM","USA","9/9/1959","New Mexico St.","Los Angeles Rams","6th","145th",1982,"TE","3-Jun",230,NA,NA,NA,NA,2013,2013,0,32.3199396,-106.7636538
"12772","Scott Lockwood","Scott","Lockwood","Los Angeles","CA","USA","3/23/1968","USC","New England Patriots","8th","204th",1992,"RB","10-May",196,NA,NA,NA,NA,2013,2013,0,34.0522342,-118.2436849
"12773","Mike Lodish","Mike","Lodish","Detroit","MI","USA","8/11/1967","UCLA","Buffalo Bills","10th","265th",1990,"NT-DT-DE","3-Jun",275,NA,NA,NA,NA,1990,2000,10,42.331427,-83.0457538
"12774","Cullen Loeffler","Cullen","Loeffler","Washington","DC","USA","1/27/1981","Texas",NA,NA,NA,NA,"C","5-Jun",241,NA,NA,NA,NA,2004,2013,9,47.7510741,-120.7401385
"12775","Dick Loepfe","Dick","Loepfe","Milwaukee","WI","USA","1/1/1922","Wisconsin","Chicago Cardinals","11th","91st",1946,"T","2-Jun",230,"10/31/2010","Brown Deer","WI",NA,2004,2013,9,43.0389025,-87.9064736
"12776","Chuck Loewen","Chuck","Loewen","Mountain Lake","MN","USA","1/23/1957","South Dakota St.","San Diego Chargers","7th","175th",1980,"T-G","3-Jun",263,NA,NA,NA,NA,2004,2013,9,37.3620953,-80.533427
"12777","Curtis Lofton","Curtis","Lofton","Kingfisher","OK","USA","6/9/1986","Oklahoma","Atlanta Falcons","2nd","37th",2008,"LB","2-Jun",238,NA,NA,NA,NA,2008,2013,5,32.250091,-110.933569
"12778","James Lofton","James","Lofton","Fort Ord","CA","USA","7/5/1956","Stanford","Green Bay Packers","1st","6th",1978,"WR","3-Jun",192,NA,NA,NA,NA,2008,2013,5,36.626614,-121.691362
"12779","Oscar Lofton","Oscar","Lofton","McCall Creek","MS","USA","4/2/1938","SE Louisiana",NA,NA,NA,NA,"E","6-Jun",218,NA,NA,NA,NA,2008,2013,5,31.5126719,-90.698711
"12780","Steve Lofton","Steve","Lofton","Jacksonville","TX","USA","11/26/1968","Texas A&M",NA,NA,NA,NA,"DB","9-May",180,NA,NA,NA,NA,2008,2013,5,30.3321838,-81.655651
"12781","Andy Logan","Andy","Logan","Connorville","OH","USA","2/17/1918","Case Western Reserve",NA,NA,NA,NA,"T-C","Jun-00",230,"11/21/1998","Lima","OH",NA,1941,1941,0,40.1926826,-80.7165907
"12783","Chuck Logan","Chuck","Logan","Chicago","IL","USA","4/10/1943","Northwestern","Chicago Bears","7th","98th",1964,"TE","4-Jun",210,NA,NA,NA,NA,1941,1941,0,41.8781136,-87.6297982
"12784","Dave Logan","Dave","Logan","Fargo","ND","USA","2/2/1954","Colorado","Cleveland Browns","3rd","65th",1976,"WR","4-Jun",219,NA,NA,NA,NA,1941,1941,0,46.8771863,-96.7898034
"12785","David Logan","David","Logan","Pittsburgh","PA","USA","10/25/1956","Pittsburgh","Tampa Bay Buccaneers","12th","307th",1979,"NT","2-Jun",250,"1/12/1999","Tampa","FL",NA,1941,1941,0,40.4406248,-79.9958864
"12786","Dick Logan","Dick","Logan","Mansfield","OH","USA","5/4/1930","Ohio St.","Cleveland Browns","11th","132nd",1952,"G-DT","2-Jun",228,NA,NA,NA,NA,1941,1941,0,40.75839,-82.5154471
"12787","Ernie Logan","Ernie","Logan","Fort Bragg","NC","USA","5/18/1968","East Carolina","Atlanta Falcons","9th","226th",1991,"NT-DE-DT","3-Jun",290,NA,NA,NA,NA,1941,1941,0,35.1414552,-79.0079949
"12788","James Logan","James","Logan","Opp","AL","USA","12/6/1972","Memphis",NA,NA,NA,NA,"LB","2-Jun",222,NA,NA,NA,NA,1941,1941,0,37.6696291,-97.4001055
"12789","Jerry Logan","Jerry","Logan","Graham","TX","USA","8/27/1941","West Texas A&M","Baltimore Colts","4th","47th",1963,"DB","1-Jun",185,NA,NA,NA,NA,1941,1941,0,37.09024,-95.712891
"12790","Jim Logan","Jim","Logan","Richmond","IN","USA","12/22/1916","Indiana",NA,NA,NA,NA,"G","10-May",190,"3/27/2004","Richmond","IN",NA,1941,1941,0,37.5407246,-77.4360481
"12791","Marc Logan","Marc","Logan","Lexington","KY","USA","5/9/1965","Kentucky","Cincinnati Bengals","5th","130th",1987,"RB","Jun-00",217,NA,NA,NA,NA,1941,1941,0,38.0405837,-84.5037164
"12792","Mike Logan","Mike","Logan","Pittsburgh","PA","USA","9/15/1974","West Virginia","Jacksonville Jaguars","2nd","50th",1997,"DB","Jun-00",212,NA,NA,NA,NA,1941,1941,0,40.4406248,-79.9958864
"12793","Obert Logan","Obert","Logan","Yoakum","TX","USA","12/6/1941","Trinity (TX)",NA,NA,NA,NA,"DB","10-May",180,"1/21/2003","Luling","TX",NA,1941,1941,0,29.2877469,-97.151931
"12794","Randy Logan","Randy","Logan","Detroit","MI","USA","5/1/1951","Michigan","Philadelphia Eagles","3rd","55th",1973,"DB","1-Jun",195,NA,NA,NA,NA,1941,1941,0,42.331427,-83.0457538
"12795","Stefan Logan","Stefan","Logan","Miami","FL","USA","6/2/1981","South Dakota",NA,NA,NA,NA,"RB","7-May",177,NA,NA,NA,NA,1941,1941,0,25.7616798,-80.1917902
"12796","Bob Logel","Bob","Logel","East Aurora","NY","USA","7/29/1928","none",NA,NA,NA,NA,"E","3-Jun",210,"7/4/2001","Holland","NY",NA,1941,1941,0,42.7678376,-78.6133589
"12797","John Lohmeyer","John","Lohmeyer","Emporia","KS","USA","1/15/1951","Emporia St.","Kansas City Chiefs","4th","89th",1973,"DT-DE","4-Jun",229,NA,NA,NA,NA,1973,1977,4,38.403903,-96.1816626
"12798","Chip Lohmiller","Chip","Lohmiller","Woodbury","MN","USA","7/16/1966","Minnesota","Washington Redskins","2nd","55th",1988,"K","3-Jun",213,NA,NA,NA,NA,1973,1977,4,41.3645382,-74.1059775
"12800","Joe Lokanc","Joe","Lokanc","East Chicago","IN","USA","3/11/1917","Northwestern","Chicago Cardinals","14th","123rd",1941,"G","11-May",205,"3/30/2009","Naperville","IL",NA,1941,1941,0,41.6392024,-87.4547635
"12801","Derek Lokey","Derek","Lokey","Nacogdoches","TX","USA","11/25/1985","Texas",NA,NA,NA,NA,"DT","1-Jun",287,NA,NA,NA,NA,1941,1941,0,31.6035129,-94.6554874
"12804","Tony Lomack","Tony","Lomack","Tallahassee","FL","USA","4/27/1968","Florida","Los Angeles Rams","9th","245th",1990,"WR","8-May",180,NA,NA,NA,NA,1990,1991,1,30.4382559,-84.2807329
"12805","John Lomakoski","John","Lomakoski","Washington","MI","USA","11/11/1940","West. Michigan","Detroit Lions","4th","48th",1962,"T","4-Jun",250,"2/16/1999","Munising","MI",NA,1990,1991,1,47.7510741,-120.7401385
"12806","Mark Lomas","Mark","Lomas","Los Angeles","CA","USA","6/8/1948","Northern Arizona","New York Jets","8th","202nd",1970,"DE-DT","4-Jun",250,NA,NA,NA,NA,1990,1991,1,34.0522342,-118.2436849
"12807","Tom Lomasney","Tom","Lomasney","Salem","MA","USA","5/11/1906","Villanova",NA,NA,NA,NA,"E","Jun-00",190,"12/29/1976","Salem","MA",NA,1990,1991,1,42.51954,-70.8967155
"12808","Neil Lomax","Neil","Lomax","Portland","OR","USA","2/17/1959","Portland St.","St. Louis Cardinals","2nd","33rd",1981,"QB","3-Jun",215,NA,NA,NA,NA,1990,1991,1,45.5122308,-122.6587185
"12809","Antonio London","Antonio","London","Tullahoma","TN","USA","4/14/1971","Alabama","Detroit Lions","3rd","62nd",1993,"LB","2-Jun",238,NA,NA,NA,NA,1993,1998,5,35.3620235,-86.2094342
"12810","Brandon London","Brandon","London","Richmond","VA","USA","10/16/1984","Massachusetts",NA,NA,NA,NA,"WR","4-Jun",210,NA,NA,NA,NA,1993,1998,5,37.5407246,-77.4360481
"12811","Mike London","Mike","London","Madison","WI","USA","12/31/1944","Wisconsin","San Diego Chargers","14th","126th",1966,"LB","2-Jun",230,NA,NA,NA,NA,1993,1998,5,43.0730517,-89.4012302
"12812","Tom London","Tom","London","Shelby","NC","USA","6/15/1954","North Carolina St.",NA,NA,NA,NA,"DB","1-Jun",197,NA,NA,NA,NA,1993,1998,5,36.0719571,-115.1792245
"12815","Keith Loneker","Keith","Loneker","Roselle Park","NJ","USA","6/21/1971","Kansas",NA,NA,NA,NA,"G","3-Jun",330,NA,NA,NA,NA,1993,1998,5,40.6645469,-74.2643133
"12816","Bill Long","Bill","Long","Lenapah","OK","USA","9/11/1926","Oklahoma St.","Pittsburgh Steelers","5th","45th",1949,"E","1-Jun",200,"7/11/1995"," "," ",NA,1993,1998,5,36.8506407,-95.636089
"12817","Bob Long","Bob","Long","Trenton","TN","USA","4/9/1922","Tennessee","Philadelphia Eagles","28th","268th",1946,"HB","10-May",190,NA,NA,NA,NA,1993,1998,5,40.2205824,-74.759717
"12818","Bob Long","Bob","Long","McKeesport","PA","USA","6/16/1942","Wichita St.","Green Bay Packers","4th","44th",1964,"FL-WR","3-Jun",205,NA,NA,NA,NA,1993,1998,5,40.3470671,-79.8641232
"12819","Bob W. Long","Bob","W.","South Pasadena","CA","USA","2/24/1934","UCLA","Los Angeles Rams","2nd","18th",1955,"LB","3-Jun",232,NA,NA,NA,NA,1993,1998,5,34.1161196,-118.1503488
